127.0.0.1 - - [20/Nov/2019:14:29:58 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:30 +0900] "GET /std_1st/bower_components/themify-icons/fonts/themify.woff HTTP/1.1" 200 56108
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:30 +0900] "GET /std_1st/bower_components/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:30 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:31 +0900] "GET /std_1st/revolution/fonts/revicons/revicons.woff?5510888 HTTP/1.1" 200 7536
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:45 +0900] "GET /std_1st/cafeList1.do HTTP/1.1" 200 36025
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:45 +0900] "GET /std_1st/assets/fonts/font-awesome/css/fontawesome-all.min.css HTTP/1.1" 200 36599
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:45 +0900] "GET /std_1st/assets/dist/css/style.css HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:45 +0900] "GET /std_1st/assets/fonts/linearicons/fonts.css HTTP/1.1" 200 51785
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:45 +0900] "GET /std_1st/assets/dist/css/plugins.css HTTP/1.1" 200 202474
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:45 +0900] "GET /std_1st/assets/fonts/font-awesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 44068
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:45 +0900] "GET /std_1st/assets/images/fav.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:48 +0900] "GET /std_1st/totalCount HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:48 +0900] "GET /std_1st/cafeListAll?start=1&end=5 HTTP/1.1" 200 4063
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:48 +0900] "GET /std_1st/cafe_img/cafe_img01.jpg HTTP/1.1" 200 18022
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:48 +0900] "GET /std_1st/printStar?cafeno=1 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:48 +0900] "GET /std_1st/printStar?cafeno=3 HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:48 +0900] "GET /std_1st/printStar?cafeno=2 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:48 +0900] "GET /std_1st/printStar?cafeno=5 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:48 +0900] "GET /std_1st/cafe_img/cafe_img03.jpg HTTP/1.1" 200 83114
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:48 +0900] "GET /std_1st/cafe_img/cafe_img02.png HTTP/1.1" 200 11110
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:48 +0900] "GET /std_1st/assets/fonts/font-awesome/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 12216
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:48 +0900] "GET /std_1st/printStar?cafeno=4 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:48 +0900] "GET /std_1st/cafe_img/cafe_img05.png HTTP/1.1" 200 18668
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:48 +0900] "GET /std_1st/cafe_img/cafe_img04.jpg HTTP/1.1" 200 125353
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/cafeListAll?sido=&gugun=&keyword=&start=11&end=15 HTTP/1.1" 200 2490
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/cafeListAll?sido=&gugun=&keyword=&start=16&end=20 HTTP/1.1" 200 2025
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/cafeListAll?sido=&gugun=&keyword=&start=6&end=10 HTTP/1.1" 200 3220
